,prenom
391,abrar
392,abriel
393,abu
394,abu-bakr
395,abubakar
396,acacio
397,ace
398,acene
399,acher
400,acheraf
401,achil
402,achile
403,achille
404,achilles
405,achim
406,achmi
407,achot
408,achour
409,achraf
410,achrafe
411,achref
412,acil
413,acyl
414,ada
415,adael
416,adal
417,adalbert
418,adam
419,âdam
420,adâm
421,adam's
422,adam-mohamed
423,adama
424,adame
425,adamm
426,adamo
427,adams
428,adan
429,adane
430,adao
431,adar
432,adda
433,addam
434,addel
435,addil
436,addison
437,addy
438,adeel
439,adel
440,adèl
441,adelaide
442,adelbert
443,adèle
444,adelin
445,adelino
446,adelio
447,adélio
448,adelmo
449,adelphe
450,adelson
451,adem
452,adèm
453,ademar
454,ademe
455,aden
456,adeodat
457,aderito
458,adham
459,adhan
460,adhem
461,adhemar
462,adhémar
463,adhen
464,adi
465,adib
466,adiel
467,adil
468,adile
469,adille
470,adilson
471,adim
472,adin
473,adis
474,adithya
475,aditya
476,adji
477,adjmal
478,adlan
479,adlane
480,adlen
481,adlene
482,adlène
483,adler
484,adley
485,adli
486,admir
487,adnan
488,adnane
489,adnen
490,adnene
491,adolf
492,adolfo
493,adolph
494,adolphe
495,adon
496,adonai
497,adonaï
498,adonis
499,adonys
500,adou
501,adriaan
502,adrian
503,adriàn
504,adriann
505,adriano
506,adriel
507,adrien
508,adryan
509,adryann
510,adryano
511,adryel
512,adryen
513,ady
514,adyan
515,adyl
516,adzo
517,aedan
518,aëdan
519,aedann
520,aeden
521,aéden
522,aëden
523,ael
524,aël
525,aelig
526,aëlig
527,aeron
528,afdal
529,affan
530,affif
531,afid
532,afif
533,afonso
534,afrahim
535,afrim
536,aftab
537,afzal
538,agapito
539,agash
540,agathe
541,agathon
542,agenor
543,aghilas
544,aghiles
545,agim
546,agit
547,agnan
548,agnel
549,agnès
550,agop
551,agostinho
552,agostino
553,aguibou
554,agustin
555,agustinho
556,agustino
557,ah
558,ahad
559,ahamada
560,ahamadou
561,ahamed
562,aharon
563,aharone
564,ahcen
565,ahcene
566,ahcène
567,ahkim
568,ahlan
569,ahmad
570,ahmadou
571,ahmadou-bamba
572,ahmar
573,ahmat
574,ahmed
575,ahmed-ali
576,ahmed-amin
577,ahmed-amine
578,ahmed-yacine
579,ahmed-yassine
580,ahmet
581,ahmet-can
582,ahmetcan
583,ahmid
584,ahron
585,ahsan
586,ahsene
587,ahyan
588,aid
589,aidan
590,aïdan
591,aidann
592,aidem
593,aiden
594,aïden
595,aignan
596,aiham
597,aikel
598,aiko
599,aïlan
600,aïley
601,ailvin
602,aimable
603,aimad
604,aimade
605,aiman
606,aïman
607,aimane
608,aïmane
609,aimar
610,aime
611,aimé
612,aimed
613,aimée
614,aimen
615,aïmen
616,aimene
617,aimeric
618,aimerick
619,aimerik
620,aimery
621,aimeryc
622,aimine
623,aimran
624,aimrane
625,aina
626,ainis
627,ainsley
628,aioub
629,aires
630,airon
631,aïron
632,airy
633,aisam
634,aissa
635,aïssa
636,aissam
637,aïssam
638,aissame
639,aissar
640,aitor
641,aïtor
642,aiwen
643,aïwen
644,aixandre
645,aiyoub
646,ajad
647,ajan
648,ajanthan
649,ajay
650,ajdin
651,ajeesh
652,ajmal
653,aka
654,akan
655,akaran
656,akash
657,akay
658,akbar
659,akcel
660,akeem
661,akhenaton
662,akhil
663,akhim
664,akhmad
665,akhmed
666,akif
667,akil
668,akilan
669,akim
670,akime
671,akin
672,akio
673,akira
674,akito
675,akiva
676,akli
677,akmal
678,akmar
679,ako
680,akram
681,akrame
682,akrem
683,aksel
684,akshan
685,akshay
686,akshayan
687,aksil
688,aksim
689,aksyl
690,akym
691,al
692,al-amine
693,al-hassan
694,ala
695,ala-eddine
696,alaa
697,alaa-eddine
698,aladdin
699,aladin
700,aladine
701,aladji
702,alae
703,alaeddine
704,alaedine
705,alain
706,alain-claude
707,alain-françois
708,alain-jean
709,alain-michel
710,alain-paul
711,alain-philippe
712,alain-pierre
713,alan
714,alane
715,alann
716,alanzo
717,alaoua
718,alaoui
719,alaric
720,alarick
721,alarik
722,alasane
723,alassan
724,alassana
725,alassane
726,alastair
727,alaya
728,alaz
729,albain
730,alban
731,albano
732,albans
733,albaro
734,alberic
735,albéric
736,alberick
737,alberie
738,albert
739,alberti
740,albertin
741,albertino
742,alberto
743,albertus
744,albi
745,albin
746,albino
747,albion
748,albrecht
749,alce
750,alcee
751,alcibiade
752,alcide
753,alcides
754,alcime
755,alcine
756,alcino
757,alde
758,aldebert
759,alden
760,alderic
761,aldéric
762,alderick
763,aldin
764,aldino
765,aldo
766,aldonce
767,aldric
768,aldrick
769,aldrik
770,aldrin
771,aldwin
772,aleandro
773,aléandro
774,aleaume
775,alec
776,alecio
777,aleck
778,alejandro
779,alek
780,aleks
781,aleksa
782,aleksandar
783,aleksander
784,aleksandr
785,aleksandre
786,aleksei
787,alekseï
788,aleksey
789,aleksi
790,aleksy
791,alem
792,alen
793,alenzo
794,ales
795,alès
796,alesandro
797,alesio
798,alesiu
799,alessandro
800,alessio
801,alessyo
802,alex
803,alexan
804,alexandar
805,alexander
806,alexandr
807,alexandra
808,alexandre
809,alexandre-benoît
810,alexandro
811,alexandros
812,alexandru
813,alexei
814,alexeï
815,alexendre
816,alexey
817,alexi
818,alexian
819,alexin
820,alexio
821,alexis
822,aléxis
823,alexy
824,alexyan
825,alexys
826,alezio
827,alézio
828,alfa
829,alfayed
830,alfeo
831,alfie
832,alfio
833,alfons
834,alfonse
835,alfonso
836,alfousseny
837,alfousseyni
838,alfred
839,alfrede
840,alfredo
841,alhadji
842,alhan
843,alhassan
844,alhassana
845,alhassane
846,alhousseyni
847,ali
848,ali-can
849,ali-eren
850,ali-ihsan
851,ali-imran
852,ali-osman
853,ali-riza
854,alia
855,aliane
856,alias
857,aliaume
858,alibert
859,alic
860,alican
861,alice
862,alicio
863,alick
864,alidor
865,alif
866,alihan
867,aliihsan
868,alija
869,alik
870,alim
871,alimamy
872,alimou
873,alin
874,aliocha
875,aliosha
876,aliou
877,alioune
878,alioune-badara
879,alipio
880,aliriza
881,alisan
882,alison
883,alistair
884,alister
885,alix
886,alixan
887,aliyar
888,alkaly
889,alkan
890,alkis
891,alla
892,allain
893,allal
894,allan
895,allande
896,allane
897,allann
898,allaoua
899,allaoui
900,allassane
901,allel
902,allen
903,alli
904,alliaume
905,allistair
906,allister
907,allon
908,allonzo
909,ally
910,allyre
911,almahdi
912,almami
913,almamy
914,almany
915,almanzo
916,almas
917,almedin
918,almin
919,almir
920,almire
921,almonzo
922,almyre
923,alois
924,aloïs
925,aloise
926,alon
927,alone
928,alonn
929,alonso
930,alonzo
931,alou
932,aloys
933,aloyse
934,alp
935,alparslan
936,alpaslan
937,alpay
938,alper
939,alperen
940,alpha
941,alpha-oumar
942,alphee
943,alphonse
944,alphonso
945,alric
946,alrick
947,alrik
948,alseny
949,altair
950,altaïr
951,altan
952,altay
953,altin
954,altino
955,alvar
956,alvaro
957,alveen
958,alvin
959,alvine
960,alvinn
961,alvino
962,alvy
963,alvyn
964,alvyne
965,alwin
966,alwyn
967,aly
968,alyan
969,alyosha
970,alyou
971,alyre
972,alyx
973,alzire
974,amaan
975,amable
976,amad
977,amada
978,amadeo
979,amadéo
980,amadeu
981,amadeus
982,amadi
983,amadis
984,amado
985,amador
986,amadou
987,amadou-tidiane
988,amady
989,amaël
990,amaiur
991,amal
992,amalio
993,amalric
994,aman
995,amance
996,amancio
997,amand
998,amandin
999,amandio
1000,amando
1001,amane
1002,amani
1003,amann
1004,amans
1005,amant
1006,amany
1007,amar
1008,amara
1009,amari
1010,amarin
1011,amaro
1012,amaru
1013,amary
1014,amateur
1015,amath
1016,amauri
1017,amaury
1018,amayas
1019,amayes
1020,amazigh
1021,amazir
1022,ambre
1023,ambroise
1024,ambrose
1025,ambrosio
1026,amdjad
1027,amdjed
1028,amdy
1029,ame
1030,amé
1031,amed
1032,amede
1033,amédé
1034,amedee
1035,amédée
1036,amedeo
1037,amedi
1038,amedy
1039,ameen
1040,ameer
1041,amel
1042,amélie
1043,amelien
1044,amélien
1045,amelin
1046,amelio
1047,amelius
1048,amen
1049,amen-allah
1050,amenallah
1051,amer
1052,americo
1053,amerigo
1054,amerouche
1055,ameth
1056,amets
1057,ameur
1058,ameziane
1059,amid
1060,amida
1061,amide
1062,amidou
1063,amiel
1064,amil
1065,amilcar
1066,amin
1067,amîn
1068,amine
1069,amine-mohamed
1070,amir
1071,amîr
1072,amirdine
1073,amire
1074,amirkhan
1075,amirouche
1076,amit
1077,amjad
1078,amjed
1079,ammar
1080,amnay
1081,amode
1082,amokrane
1083,amon
1084,amor
1085,amori
1086,amoro
1087,amory
1088,amos
1089,amour
1090,amr
1091,amram
1092,amran
1093,amrane
1094,amre
1095,amri
1096,amro
1097,amyas
1098,amyn
1099,amyne
1100,amyr
1101,amza
1102,an
1103,anaclet
1104,anacleto
1105,anael
1106,anaël
1107,anaick
1108,anaïck
1109,anakim
1110,anakin
1111,anakine
1112,anakyn
1113,anand
1114,ananda
1115,anar
1116,anas
1117,anase
1118,anass
1119,anasse
1120,anastase
1121,anastasie
1122,anastasio
1123,anasthase
1124,anatol
1125,anatole
1126,anatoli
1127,ancel
1128,ancelin
1129,andde
1130,anddy
1131,andeol
1132,andéol
1133,ander
1134,anders
1135,anderson
1136,andgel
1137,andgelo
1138,andgy
1139,andhy
1140,andi
1141,andji
1142,andjy
1143,ando
1144,andoche
1145,andoni
1146,andony
1147,andranik
1148,andre
1149,andré
1150,andré-claude
1151,andré-françois
1152,andré-jean
1153,andré-louis
1154,andré-luc
1155,andré-marc
1156,andré-marie
1157,andré-michel
1158,andré-paul
1159,andré-philippe
1160,andré-pierre
1161,andré-yves
1162,andrea
1163,andréa
1164,andrean
1165,andreas
1166,andréas
1167,andrée
1168,andrei
1169,andreï
1170,andrej
1171,andreja
1172,andreo
1173,andres
1174,andrés
1175,andrès
1176,andreus
1177,andrew
1178,andrews
1179,andrey
1180,andria
1181,andrian
1182,andriano
1183,andric
1184,andrick
1185,andrien
1186,andrija
1187,andris
1188,andro
1189,androu
1190,andry
1191,andrzej
1192,andy
1193,anel
1194,anelka
1195,anelor
1196,anes
1197,anés
1198,anès
1199,aness
1200,anesse
1201,anfane
1202,ange
1203,ange-antoine
1204,ange-baptiste
1205,ange-emmanuel
1206,ange-françois
1207,ange-gabriel
1208,ange-louis
1209,ange-marie
1210,ange-mathieu
1211,ange-michel
1212,ange-paul
1213,ange-pierre
1214,ange-toussaint
1215,angebert
1216,angel
1217,angelbert
1218,angèle
1219,angeli
1220,angelien
1221,angelin
1222,angelino
1223,angélino
1224,angelis
1225,angelito
1226,angello
1227,angelo
1228,angélo
1229,angelos
1230,angely
1231,anges
1232,anghjulu
1233,angi
1234,angie
1235,angueran
1236,anguerrand
1237,angus
1238,angy
1239,anh
1240,anh-tuan
1241,anibal
1242,anice
1243,anicet
1244,aniceto
1245,anick
1246,aniel
1247,aniello
1248,anik
1249,anil
1250,anilson
1251,anir
1252,anis
1253,anise
1254,anish
1255,aniss
1256,anisse
1257,anjara
1258,anjel
1259,anli
1260,annael
1261,annas
1262,anne
1263,annet
1264,annibal
1265,annick
1266,annis
1267,annonciat
1268,annoncy
1269,annunziato
1270,anoir
1271,anojan
1272,anoki
1273,anonyme
1274,anouar
1275,anouk
1276,anousack
1277,anousith
1278,anousone
1279,anri
1280,ansar
1281,ansbert
1282,ansel
1283,anselm
1284,anselme
1285,anselmo
1286,ansley
1287,ansou
1288,ansoumana
1289,ansoumane
1290,antar
1291,ante
1292,anteo
1293,antero
1294,anthelme
1295,anthime
1296,anthoine
1297,anthon
1298,anthone
1299,anthoni
1300,anthonin
1301,anthonio
1302,anthonny
1303,anthony
1304,anthonyn
1305,anthonyo
1306,anthyme
1307,antide
1308,antime
1309,anto
1310,antoine
1311,antoine-dominique
1312,antoine-françois
1313,antoine-jean
1314,antoine-joseph
1315,antoine-louis
1316,antoine-marie
1317,antolin
1318,anton
1319,antone
1320,antonello
1321,antoni
1322,antonia
1323,antonie
1324,antonin
1325,antonino
1326,antonio
1327,antonio-josé
1328,antonio-manuel
1329,antonis
1330,antonius
1331,antonn
1332,antonny
1333,antony
1334,antonyn
1335,antonyo
1336,antranik
1337,antso
1338,antton
1339,antzo
1340,anuar
1341,anujan
1342,anusan
1343,anushan
1344,anwar
1345,anyl
1346,anyr
1347,anys
1348,anyss
1349,anziz
1350,anzo
1351,aodhan
1352,aodren
1353,aodrenn
1354,aomar
1355,aoued
1356,aous
1357,apdullah
1358,apollin
1359,apollinaire
1360,apollo
1361,apollon
1362,apollonie
1363,appolinaire
1364,appollinaire
1365,appolon
1366,aqib
1367,aqil
1368,aquilino
1369,ara
1370,arab
1371,arafat
1372,aram
1373,aramis
1374,aran
1375,aras
1376,aravind
1377,araz
1378,arben
1379,arbi
1380,arbnor
1381,arcade
1382,arcadius
1383,arcady
1384,arcangelo
1385,archad
1386,archange
1387,archibald
1388,archie
1389,archimede
1390,arda
1391,arden
1392,ardi
1393,ardian
1394,ardil
1395,ardit
1396,ardo
1397,aref
1398,areg
1399,arel
1400,aren
1401,ares
1402,arès
1403,areski
1404,arezki
1405,arfan
1406,argan
1407,argann
1408,arham
1409,ari
1410,aria
1411,arian
1412,arie
1413,arié
1414,arieh
1415,ariel
1416,arif
1417,arik
1418,ariles
1419,arilès
1420,arille
1421,ario
1422,arion
1423,aris
1424,arish
1425,ariski
1426,ariste
1427,aristene
1428,aristhene
1429,aristide
1430,aristote
1431,aritz
1432,arizki
1433,arjan
1434,arjun
1435,arjuna
1436,arkaitz
1437,arkan
1438,arkane
1439,arken
1440,arlan
1441,arlen
1442,arlind
1443,arlindo
1444,arlo
1445,arly
1446,armaan
1447,armael
1448,armagan
1449,arman
1450,armand
1451,armandino
1452,armando
1453,armani
1454,armant
1455,armel
1456,armen
1457,armenio
1458,armin
1459,armindo
1460,armine
1461,armon
1462,arnaldo
1463,arnau
1464,arnaud
1465,arnauld
1466,arnault
1467,arnaut
1468,arnav
1469,arne
1470,arnel
1471,arno
1472,arnold
1473,arnould
1474,arnoult
1475,arnoux
1476,aro
1477,arold
1478,aron
1479,arona
1480,arone
1481,aronn
1482,aronne
1483,aroon
1484,aroun
1485,arouna
1486,arpad
1487,arris
1488,arron
1489,arry
1490,arsalan
1491,arsalane
1492,arsen
1493,arsene
1494,arsène
1495,arsenio
1496,arshad
1497,arslan
1498,arslane
1499,art
1500,artem
1501,arteme
1502,arthaud
1503,artheme
1504,arthemon
1505,arthis
1506,arthur
1507,arthur-louis
1508,arthuro
1509,arthus
1510,arti
1511,artin
1512,artiom
1513,arto
1514,artur
1515,arturo
1516,artus
1517,artyom
1518,arujan
1519,arun
1520,arush
1521,arushan
1522,arvin
1523,arvind
1524,arwan
1525,arwen
1526,arwin
1527,ary
1528,arya
1529,aryan
1530,arye
1531,aryeh
1532,aryles
1533,arys
1534,arzel
1535,arzhel
1536,arzhur
1537,asaad
1538,asad
1539,asael
1540,asaël
1541,asaf
1542,asaph
1543,ascelin
1544,asdine
1545,asen
1546,aser
1547,asher
1548,ashkan
1549,ashley
1550,ashok
1551,ashot
1552,ashraf
1553,ashton
1554,ashvin
1555,ashwin
1556,asif
1557,asil
1558,asim
1559,askhab
1560,askin
1561,aslam
1562,aslan
1563,aslane
1564,aslem
1565,asmar
1566,asmir
1567,assaad
1568,assad
1569,assadillah
1570,assaf
1571,assalas
1572,assan
1573,assane
1574,assem
1575,assen
1576,asser
1577,assil
1578,assim
1579,assirem
1580,assyl
1581,astier
1582,aston
1583,astor
1584,astrid
1585,asvin
1586,aswad
1587,aswan
1588,aswin
1589,ata
1590,ataf
1591,atahan
1592,atakan
1593,atalay
1594,atef
1595,atem
1596,athanael
1597,athanaël
1598,athanas
1599,athanase
1600,athavan
1601,athem
1602,athis
1603,athman
1604,athmane
1605,athos
1606,athys
1607,atif
1608,atik
1609,atila
1610,atilio
1611,atilla
1612,atim
1613,atlan
1614,atlas
1615,atman
1616,atmane
1617,attale
1618,attila
1619,attilio
1620,attilius
1621,attis
1622,atys
1623,auban
1624,aubert
1625,aubierge
1626,aubin
1627,aubrey
1628,aubry
1629,aude
1630,audebert
1631,audin
1632,audoin
1633,audouin
1634,audran
1635,audren
1636,audrey
1637,audric
1638,audrick
1639,audrik
1640,audry
1641,audy
1642,auger
1643,august
1644,augusta
1645,augustave
1646,auguste
1647,augustin
1648,augustine
1649,augustino
1650,augusto
1651,aurel
1652,aurèl
1653,aurele
1654,aurèle
1655,aurelian
1656,aurélian
1657,aureliano
1658,aurélie
1659,aurelien
1660,aurélien
1661,aurelio
1662,aurélio
1663,aurelius
1664,aures
1665,aurian
1666,auric
1667,auriel
1668,auron
1669,aury
1670,austin
1671,auxane
1672,auxence
1673,avedis
1674,avel
1675,avelino
1676,aventin
1677,avery
1678,avi
1679,avicenne
1680,avichai
1681,avidan
1682,aviel
1683,avigdor
1684,avinash
1685,avishai
1686,avishaï
1687,avit
1688,aviv
1689,avner
1690,avni
1691,avraham
1692,avram
1693,avril
1694,avy
1695,awab
1696,awad
1697,awais
1698,awan
1699,aweb
1700,awen
1701,awenn
1702,awes
1703,aws
1704,axandre
1705,axcel
1706,axel
1707,axell
1708,axil
1709,axl
1710,ayaan
1711,ayache
1712,ayachi
1713,ayad
1714,ayadi
1715,ayam
1716,ayan
1717,ayane
1718,ayann
1719,ayaz
1720,aydan
1721,aydane
1722,aydann
1723,aydem
1724,ayden
1725,aydenn
1726,aydin
1727,aydine
1728,aydon
1729,ayed
1730,ayel
1731,ayemen
1732,ayham
1733,ayhan
1734,ayhem
1735,ayite
1736,aykan
1737,aykel
1738,aykut
1739,aylal
1740,aylan
1741,aylane
1742,aylann
1743,aylen
1744,ayman
1745,aymane
1746,aymann
1747,aymar
1748,aymard
1749,ayme
1750,aymé
1751,aymen
1752,aymene
1753,aymène
1754,aymeri
1755,aymeric
1756,ayméric
1757,aymerick
1758,aymerik
1759,aymery
1760,aymon
1761,aymric
1762,aymrick
1763,ayoub
1764,ayouba
1765,ayoube
1766,ayron
1767,ayronn
1768,aysar
1769,ayssa
1770,ayssam
1771,ayssar
1772,ayssem
1773,aysser
1774,aytac
1775,aytan
1776,aytekin
1777,aythan
1778,aythem
1779,ayub
1780,ayush
1781,ayvan
1782,ayven
1783,aywen
1784,ayyoub
1785,ayyub
1786,ayyûb
1787,az-eddine
1788,azaan
1789,azad
1790,azadine
1791,azael
1792,azaël
1793,azam
1794,azan
1795,azar
1796,azaria
1797,azat
1798,azddine
1799,azdin
1800,azdine
1801,azeddine
1802,azedin
1803,azedine
1804,azel
1805,azem
1806,azer
1807,azhar
1808,azid
1809,azidine
1810,aziel
1811,azim
1812,azir
1813,azis
1814,aziz
1815,azize
1816,azmi
1817,azouaou
1818,azouz
1819,azriel
1820,azur
1821,azzam
1822,azzaro
1823,azzdine
1824,azzeddine
1825,azzedine
1826,azziz
1827,azzouz
1828,ba
1829,baba
1830,babacar
1831,babak
1832,babakar
1833,babou
1834,babylas
1835,bacar
1836,bacari
1837,bacary
1838,bacem
1839,bachar
1840,bacher
1841,bachir
1842,bachirou
1843,badar
1844,badara
1845,bader
1846,bader-eddine
1847,baderdine
1848,badi
1849,badice
1850,badie
1851,badir
1852,badis
1853,badiss
1854,badisse
1855,badr
1856,badr-dine
1857,badr-eddine
1858,badra
1859,badradine
1860,badre
1861,badre-eddine
1862,badreddine
1863,badredine
1864,badri
1865,bady
1866,badys
1867,badyss
1868,bafode
1869,bafodé
1870,bagdad
1871,bagdadi
1872,baghdad
1873,baghdadi
1874,bah
1875,baha
1876,bahadir
1877,bahattin
1878,bahi
1879,bahoz
1880,bahri
1881,bahtiyar
1882,baidy
1883,baïdy
1884,baila
1885,bairam
1886,bajram
1887,bakar
1888,bakari
1889,bakary
1890,bakasso
1891,bakaye
1892,baker
1893,baki
1894,bakir
1895,bakou
1896,bakoutoubo
1897,bakr
1898,bala
1899,balal
1900,balamine
1901,baldomero
1902,balian
1903,baligh
1904,balla
1905,baltasar
1906,baltazar
1907,balthasar
1908,balthazar
1909,balthazard
1910,balthus
1911,bamba
1912,bambo
1913,bamory
1914,bandiougou
1915,bandjougou
1916,banfa
1917,bangali
1918,bangaly
1919,banta
1920,bao
1921,baptist
1922,baptista
1923,baptiste
1924,baptistin
1925,baptyste
1926,bara
1927,baraa
1928,barack
1929,barae
1930,baraka
1931,baran
1932,barbe
1933,barded
1934,barek
1935,bari
1936,baris
1937,barka
1938,barnabe
1939,barnabé
1940,barnaby
1941,barney
1942,baroudi
1943,barry
1944,bart
1945,barthelemi
1946,barthelemy
1947,barthélemy
1948,barthélémy
1949,bartholome
1950,bartholomé
1951,bartimée
1952,bartlomiej
1953,bartolome
1954,bartolomé
1955,bartolomeo
1956,bartosz
1957,bary
1958,basekou
1959,basem
1960,bashir
1961,basil
1962,basile
1963,basilide
1964,basilio
1965,basri
1966,bassam
1967,bassekou
1968,bassel
1969,bassem
1970,bassim
1971,bassirou
1972,bastiaan
1973,bastian
1974,bastiano
1975,bastianu
1976,bastien
1977,bastyan
1978,bastyen
1979,bathilde
1980,bathiste
1981,batin
1982,batist
1983,batista
1984,batiste
1985,batistin
1986,batoura
1987,battal
1988,battista
1989,battiste
1990,battistu
1991,batuhan
1992,batyste
1993,baudoin
1994,baudouin
1995,baudry
1996,bauduin
1997,bautista
